CRED T,CRED T-1,CRED T-2,NCC T,NCC T-1,NCC T-2,INCOME,N_EDUC,AGE,SX,CIV_ST,T_WEB T,T_WEB T-1,T_WEB T-2,MAR_T,MAR_T-1,MAR_T-2,MAR_T-3,MAR_T-4,MAR_T-5,MAR_T-6,TARGET
643.09,161.26,163.59,2,2,2,698,4,31,1,1,1,0,0,-5.74,0.43,-5.52,-6.68,-7.63,-5.67,-5.07,nonchurner
592.76,93.96,93.96,0,0,0,462,1,24,0,1,0,0,0,0,0,0,0,0,0,0,nonchurner
592.76,93.96,93.96,1,0,0,135,3,26,1,1,0,0,0,0,0,0,0,0,0,0,nonchurner
699.77,129.85,125.81,0,0,0,460,3,38,0,2,0,0,2,-1.5,4.14,-5.32,-2.7,-5.38,-0.73,20.8,nonchurner
592.76,93.96,93.96,1,1,1,1270,4,30,1,1,0,0,0,0,0,0,0,0,0,0,nonchurner
696.26,202.46,184.67,1,1,1,622,4,26,0,1,0,0,0,-31.26,23.55,-145.19,-0.22,-18.96,-36.58,0,nonchurner
592.76,93.96,93.96,1,1,1,1085,4,34,1,2,0,0,0,57.32,36.35,51.24,38.78,38.36,34.14,45.64,nonchurner
599.18,96.65,97.11,1,1,1,837,3,46,1,2,0,0,0,12.4,12.56,14.19,14.07,15.9,26.11,31.64,nonchurner
667.4,106.52,109.53,1,1,1,501,2,54,0,1,6,5,11,11.6,10.86,10.21,13.84,3.37,7.61,12.5,nonchurner
928.15,495.11,563.39,1,1,1,1100,4,36,1,1,0,3,17,12.21,21.72,16.5,13.87,14.45,30.16,9.71,nonchurner
612.54,111.93,106.15,1,1,1,621,3,30,0,1,0,0,2,47.49,15.29,51.13,43.54,55.94,45.7,49.98,nonchurner
610.56,103.02,104.1,2,2,2,740,3,33,0,2,3,11,10,-3.14,-3.75,-8.33,-4.67,-4.84,-7.5,-4.69,nonchurner
592.76,93.96,93.96,0,0,0,1160,4,43,1,2,0,0,0,72.99,47.1,85.76,109.37,126.55,85.36,-132.54,nonchurner
596.3,99.93,98.02,1,1,1,344,3,31,0,1,7,6,3,6.65,11.51,4.91,4.83,1.63,6.15,1.32,nonchurner
592.5,94.07,94.32,1,1,1,208,4,30,1,1,2,0,0,9.28,5.34,9.05,6.38,3.56,12.32,3.22,nonchurner
664.69,212.51,250.64,0,0,0,409,4,31,1,1,2,7,0,16.1,23.3,14.83,22.84,30.28,23.32,31.56,nonchurner
604.58,114.93,135.1,1,1,1,1435,4,33,1,1,6,14,7,4.93,33.19,24.26,59.93,61.88,63.29,76.55,nonchurner
619.27,104.68,95.25,1,1,1,600,4,28,1,1,0,0,0,5.47,18.44,7.58,3.56,3.29,-55.55,0,nonchurner
594.12,93.96,94.24,1,1,1,780,4,34,0,1,0,0,0,17.29,12.67,11.04,18.18,6.24,6.97,6.97,nonchurner
900.14,182.32,100.9,0,0,0,678,2,30,0,2,24,14,12,23.81,31.53,6.38,16.79,7,2.21,-35.79,nonchurner
612.15,111.6,93.96,1,1,1,700,4,34,1,2,2,0,0,-2.12,5.89,-55.46,0,0,0.35,2.12,nonchurner
614.56,110.58,162.1,1,1,1,538,4,30,0,1,26,43,49,14.45,16.06,-15.04,-6.89,-5.54,-3.59,-5.2,nonchurner
597.06,103.38,97.78,1,1,1,960,3,33,0,1,3,0,3,68.46,-12.03,35.89,29.85,30.58,29.61,38.6,nonchurner
655.41,172.82,178.41,0,0,1,551,4,38,1,1,0,0,0,3.48,4.32,3.44,1.23,1.41,0.54,-1.9,nonchurner
669.63,124.57,109.99,0,0,1,1450,4,31,1,1,14,21,5,43.22,65.94,35.76,30.35,29,22.3,40.56,nonchurner
750.72,158.71,161.72,1,1,1,1548,4,54,1,2,0,9,8,64.57,35.11,26.51,147.71,56.69,50.26,58.65,nonchurner
592.15,93.67,93.97,4,4,6,105,4,30,1,2,85,44,41,36.19,24.52,5.5,-14.58,3.29,26.63,26.39,nonchurner
592.76,93.99,93.96,0,0,0,243,4,39,0,2,4,3,8,-5.03,1.84,-4.46,-3.3,1.46,0.79,-3.28,nonchurner
595.02,96.84,95.05,1,1,1,800,3,33,1,2,0,3,6,34,44.69,27.28,30.91,31.65,-1313.23,43.88,nonchurner
633.88,111.42,119.49,1,1,1,750,4,32,1,1,9,12,10,-5.16,1.89,-10.07,-4.43,-4.55,-7.47,-1.41,nonchurner
626.87,149.94,155.17,0,0,0,1313,4,33,1,4,15,18,7,22.38,27.49,20.64,17.66,-269.01,10.13,14.92,nonchurner
